date,note_file,note_page,geometry_ticks,geometry_first_usd_t,geometry_last_usd_t,geometry_pitch_pt
2024-06-28,wb_NPG-2024.06.21.pdf,3,12,1600,500,4.165
2024-08-09,wb_NPG-2024.07.12.pdf,4,9,1300,500,4.033
2024-09-06,wb_NPG-2024.08.30.pdf,3,9,1300,500,4.165
2025-01-17,wb_NPG-2025.01.17.pdf,3,7,1100,500,4.165
2025-12-19,wb_NPG-2025.12.19.pdf,3,7,1000,400,4.321
2026-03-20,wb_NPG-2026.03.20.pdf,3,10,1300,400,4.321
2026-03-27,wb_NPG-2026.03.27.pdf,3,11,1400,400,4.321
2026-04-03,wb_NPG-2026.04.03.pdf,3,12,1500,400,4.321
2026-04-24,wb_NPG-2026.04.17.pdf,3,12,1500,400,4.09
2026-09-04,NPG-2026.09.04.pdf,3,12,1500,400,4.321
2026-09-11,NPG-2026.09.11.pdf,3,12,1500,400,4.321
2026-09-18,NPG-2026.09.18.pdf,3,14,1700,400,4.321
