date,nwe5_capacity_kb_d
1965-12-31,5581
1966-12-31,6195
1967-12-31,7013
1968-12-31,7799
1969-12-31,8821
1970-12-31,9356
1971-12-31,10078
1972-12-31,10980
1973-12-31,11825
1974-12-31,12431
1975-12-31,12768
1976-12-31,12950
1977-12-31,12696
1978-12-31,12605
1979-12-31,12446
1980-12-31,12274
1981-12-31,11795
1982-12-31,10439
1983-12-31,9365
1984-12-31,8773
1985-12-31,8293
1986-12-31,7947
1987-12-31,7850
1988-12-31,7751
1989-12-31,7604
1990-12-31,7464
1991-12-31,7622
1992-12-31,7683
1993-12-31,7638
1994-12-31,7697
1995-12-31,7602
1996-12-31,7640
1997-12-31,7815
1998-12-31,7940
1999-12-31,7936
2000-12-31,8040
2001-12-31,8040
2002-12-31,8119.5
2003-12-31,8141.5
2004-12-31,8184.450328767123
2005-12-31,8149.666794520547
2006-12-31,8225.060493150686
2007-12-31,8189.079753424658
2008-12-31,8229.949342465752
2009-12-31,8032.04
2010-12-31,7611.486150684931
2011-12-31,7539.196780821918
2012-12-31,7167.869575342466
2013-12-31,6989.525520547946
2014-12-31,6844.351356164383
2015-12-31,6835.639315068493
2016-12-31,6627.614109589041
2017-12-31,6644.985205479452
2018-12-31,6669.655205479452
2019-12-31,6670.558904109588
2020-12-31,6693.753835616439
2021-12-31,6679.7397534246575
2022-12-31,6599.668493150685
2023-12-31,6571.989041095891
2024-12-31,6585.989041095891
2025-12-31,6238
